138;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X11(00:00-29:59)
1;B,P(141);ZTM;Westerplatte;0;;0;0;0;0;0
2;P(1080);ZTM;Przystañ ¯eglugi;1;;1;1;1;1;1
3;P(1078);ZTM;Pok³adowa (n/¿);1;;1;1;1;1;1
4;P(1076);ZTM;Charpentiera Wis³oujœcie (n/¿);1;;1;1;1;1;1
5;P(1976);ZTM;Twierdza Wis³oujœcie (n/¿);1;;1;1;1;1;1
6;P(1074);ZTM;De Plelo (n/¿);1;;1;1;1;1;1
7;P(1082);ZTM;Ku Ujœciu (n/¿);;;3;;3;3;
8;P(1098);ZTM;Kujawska;;;1;;1;1;
9;P(140);ZTM;Nabrze¿e Przemys³owe;;0;2;;2;2;
10;P(1097);ZTM;Kujawska;;2;2;;2;2;
11;P(1072);ZTM;Ku Ujœciu (n/¿);3;2;2;3;2;2;3
12;P(1900);ZTM;Terminal DCT;;;5;5;;5;5
13;P(1889);ZTM;Kontenerowa (n/¿);;;2;2;;2;2
14;P(1070);ZTM;Sucharskiego - PKP (n/¿);1;1;3;3;1;3;3
15;P(1050);ZTM;Budzysza Elmont;3;3;3;3;3;3;3
16;P(1256);ZTM;Elbl¹ska - Wiadukt (n/¿);3;3;3;4;4;4;3
17;P(1100);ZTM;Mostek;2;2;2;2;2;2;2
18;P(1042);ZTM;Brama ¯u³awska;1;1;1;1;1;1;1
19;P(1662);ZTM;Akademia Muzyczna;1;1;1;1;1;1;1
20;P(1038);ZTM;¯abi Kruk;2;2;2;2;2;2;2
21;P(1030);ZTM;Brama Wy¿ynna;2;2;2;2;2;2;2
22;B,N,K0,P(1024);ZTM;Dworzec G³ówny;2;2;2;2;2;2;2
